"ProcessId","ParentProcessId","Name","CommandLine"
"21056","21048","CCXProcess.exe","""C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"""
"20920","21056","node.exe","""C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"" ""C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\main.js"""
"21132","20920","conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4"
"13068","1248","svchost.exe",
"21400","20920","AdobeIPCBroker.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"" ""-launchedbyvulcan-20920 C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"""
"19788","9144","steam.exe","""C:\Program Files (x86)\Steam\steam.exe"" -silent"
"21276","19788","steamwebhelper.exe","""C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe"" -nocrashdialog ""-lang=fr_FR"" ""-cachedir=C:\Users\jeane\AppData\Local\Steam\htmlcache"" ""-steampid=19788"" ""-buildid=1774577504"" ""-steamid=0"" ""-logdir=C:\Program Files (x86)\Steam\logs"" ""-uimode=7"" ""-startcount=0"" ""-steamuniverse=Public"" ""-realm=Global"" ""-clientui=C:\Program Files (x86)\Steam\clientui"" ""-steampath=C:\Program Files (x86)\Steam\steam.exe"" ""-launcher=0"" ""--valve-initial-threadpool-size=4"" --valve-enable-site-isolation --enable-smooth-scrolling ""--log-file=C:\Program Files (x86)\Steam\logs\cef_log.txt"" --disable-quick-menu --disable-component-update ""--gaia-url=http://disabled.invalid"" ""--enable-features=PlatformHEVCDecoderSupport"" ""--disable-features=WinRetrieveSuggestionsOnlyOnDemand,SpareRendererForSitePerProcess,DcheckIsFatal,BlockPromptsIfIgnoredOften,ValveFFmpegAllowLowDelayHEVC"""
"10660","1248","steamservice.exe",
"21484","21276","steamwebhelper.exe","""C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe"" --type=crashpad-handler /prefetch:4 --max-uploads=5 --max-db-size=20 --max-db-age=5 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Program Files (x86)\Steam\dumps"" ""--metrics-dir=C:\Users\jeane\AppData\Local\CEF\User Data"" --url=https://crash.steampowered.com/submit --annotation=platform=win64 --annotation=product=cefwebhelper --annotation=version=1774577504 --initial-client-data=0x380,0x384,0x388,0x37c,0x38c,0x7ffed516af00,0x7ffed516af0c,0x7ffed516af18"
"2248","21276","steamwebhelper.exe","""C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe"" --type=gpu-process --start-stack-profiler --enable-chrome-runtime --user-data-dir=""C:\Users\jeane\AppData\Local\Steam\htmlcache"" --user-agent-product=""Valve Steam Client"" --buildid=1774577504 --steamid=0 --valve-initial-threadpool-size=4 --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1900,i,12524461577250696255,15674527464468332663,262144 --enable-features=PlatformHEVCDecoderSupport --disable-features=BlockPromptsIfIgnoredOften,DcheckIsFatal,SpareRendererForSitePerProcess,ValveFFmpegAllowLowDelayHEVC,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --enable-logging=handle --log-file=1864 --mojo-platform-channel-handle=1896 /prefetch:2"
